thedate,num,name
2020-04-04,221,Bexley
2020-04-04,218,North Yorkshire
2020-04-04,216,West Sussex
2020-04-04,215,Coventry
2020-04-04,208,Sutton
2020-04-04,199,County Durham
2020-04-04,194,Derby
2020-04-04,194,Havering
2020-04-04,193,Stockport
2020-04-04,191,Salford
2020-04-04,191,Cambridgeshire
2020-04-04,191,Suffolk
2020-04-04,183,Solihull
2020-04-04,183,Barking and Dagenham
2020-04-04,181,Devon
2020-04-04,175,Richmond upon Thames
2020-04-04,173,Trafford
2020-04-04,172,Sefton
2020-04-04,170,Bradford
2020-04-04,166,"Bristol, City of"
2020-04-04,161,Nottingham
2020-04-04,159,Leicester
2020-04-04,158,Barnsley
2020-04-04,158,Rotherham
2020-04-04,153,Kirklees
2020-04-04,152,Oldham
2020-04-04,152,Sunderland
2020-04-04,149,Milton Keynes
2020-04-04,149,Cheshire West and Chester
2020-04-04,149,Cornwall and Isles of Scilly
2020-04-04,148,St Helens
2020-04-04,147,Wirral
2020-04-04,145,Southampton
2020-04-04,144,Medway
2020-04-04,144,Cheshire East
2020-04-04,144,Kingston upon Thames
2020-04-04,142,Northumberland
2020-04-04,138,Shropshire
2020-04-04,133,North Tyneside
2020-04-04,132,East Sussex
2020-04-04,129,Slough
2020-04-04,129,Tameside
2020-04-04,128,Luton
2020-04-04,128,Wakefield
2020-04-04,127,Rochdale
2020-04-04,120,Wiltshire
2020-04-04,117,Doncaster
2020-04-04,116,Central Bedfordshire
2020-04-04,116,Wigan
2020-04-04,113,South Gloucestershire
2020-04-04,111,Middlesbrough
2020-04-04,110,Knowsley
2020-04-04,109,Bolton
2020-04-04,108,Gateshead
2020-04-04,104,Bury
2020-04-04,97,Warrington
2020-04-04,91,Dorset
2020-04-04,89,Portsmouth
2020-04-04,88,Windsor and Maidenhead
2020-04-04,83,Thurrock
2020-04-04,83,Wokingham
2020-04-04,83,Bedford
2020-04-04,83,"Bournemouth, Christchurch and Poole"
2020-04-04,81,Stockton on Tees
2020-04-04,80,Stoke on Trent
2020-04-04,79,Reading
2020-04-04,78,East Riding of Yorkshire
2020-04-04,76,Southend on Sea
2020-04-04,76,Somerset
2020-04-04,75,Redcar and Cleveland
2020-04-04,74,West Berkshire
2020-04-04,73,Brighton and Hove
2020-04-04,71,Plymouth
2020-04-04,70,Telford and Wrekin
2020-04-04,69,Calderdale
2020-04-04,66,North Somerset
2020-04-04,61,Halton
2020-04-04,58,Bath and North East Somerset
2020-04-04,57,York
2020-04-04,57,"Herefordshire, County of"
2020-04-04,57,South Tyneside
2020-04-04,53,Torbay
2020-04-04,52,Blackburn with Darwen
2020-04-04,50,Blackpool
2020-04-04,49,Swindon
2020-04-04,48,Peterborough
2020-04-04,45,Bracknell Forest
2020-04-04,43,North Lincolnshire
2020-04-04,36,North East Lincolnshire
2020-04-04,32,Darlington
2020-04-04,28,"Kingston upon Hull, City of"
2020-04-04,25,Isle of Wight
2020-04-04,23,Hartlepool
2020-04-04,6,Rutland
2020-04-05,1246,Birmingham
2020-04-05,876,Hampshire
2020-04-05,833,Sheffield
2020-04-05,833,Hertfordshire
2020-04-05,811,Surrey
2020-04-05,792,Essex
2020-04-05,755,Kent
2020-04-05,728,Brent
2020-04-05,726,Lancashire
2020-04-05,698,Cumbria
2020-04-05,648,Southwark
2020-04-05,645,Barnet
2020-04-05,631,Lambeth
2020-04-05,558,Croydon
2020-04-05,534,Staffordshire
2020-04-05,493,Newham
2020-04-05,492,Wandsworth
2020-04-05,489,Bromley
2020-04-05,489,Ealing
2020-04-05,477,Lewisham
2020-04-05,455,Liverpool
2020-04-05,452,Derbyshire
2020-04-05,450,Harrow
2020-04-05,413,Nottinghamshire
2020-04-05,411,Oxfordshire
2020-04-05,364,Waltham Forest
2020-04-05,363,Westminster
2020-04-05,350,Worcestershire
2020-04-05,348,Newcastle upon Tyne
2020-04-05,345,Hackney and City of London
2020-04-05,343,Northamptonshire
2020-04-05,340,Walsall
2020-04-05,339,Tower Hamlets
2020-04-05,334,Warwickshire
2020-04-05,333,Enfield
2020-04-05,323,Hounslow
2020-04-05,318,Greenwich
2020-04-05,317,Hillingdon
2020-04-05,316,Sandwell
2020-04-05,311,Leicestershire
2020-04-05,299,Redbridge
2020-04-05,296,Leeds
2020-04-05,294,Wolverhampton
2020-04-05,293,Manchester
2020-04-05,293,Merton
2020-04-05,289,Camden
2020-04-05,283,Dudley
2020-04-05,281,Gloucestershire
2020-04-05,279,Norfolk
2020-04-05,277,Haringey
2020-04-05,268,Buckinghamshire
2020-04-05,260,County Durham
2020-04-05,258,Kensington and Chelsea
2020-04-05,252,Hammersmith and Fulham
2020-04-05,252,Lincolnshire
2020-04-05,248,Islington
2020-04-05,246,Coventry
2020-04-05,243,North Yorkshire
2020-04-05,242,Bexley
2020-04-05,239,Derby
2020-04-05,236,Sunderland
2020-04-05,232,Havering
2020-04-05,232,Sutton
2020-04-05,231,Suffolk
2020-04-05,226,Salford
2020-04-05,225,Stockport
2020-04-05,220,West Sussex
2020-04-05,219,Sefton
2020-04-05,212,Cambridgeshire
2020-04-05,209,Barking and Dagenham
2020-04-05,207,Devon
2020-04-05,204,Solihull
